County	State	FoodServices-97	FoodServices-2002	FoodServices-2007
Morris	 NJ	1080	1123	1290
Ocean	 NJ	946	981	1087
Passaic	 NJ	764	814	905
Salem	 NJ	109	110	112
Somerset	 NJ	618	665	712
Sussex	 NJ	254	280	299
Union	 NJ	1064	995	1110
Warren	 NJ	224	217	250
NEW MEXICO		3827	3756	4090
Bernalillo	 NM	1203	1200	1319
Catron	 NM	11	11	11
Chaves	 NM	115	99	121
Cibola	 NM	46	48	43
Colfax	 NM	79	72	76
Curry	 NM	83	78	86
De Baca	 NM	8	6	3
Dona Ana	 NM	253	245	298
Eddy	 NM	103	90	110
Grant	 NM	72	76	76
Guadalupe	 NM	33	28	29
Harding	 NM	3	2	3
Hidalgo	 NM	24	21	16
Lea	 NM	109	104	115
Lincoln	 NM	99	108	103
Los Alamos	 NM	42	38	36
Luna	 NM	51	45	57
McKinley	 NM	133	136	148
Mora	 NM	4	2	3
Otero	 NM	99	97	103
Quay	 NM	46	44	35
Rio Arriba	 NM	89	78	79
Roosevelt	 NM	30	23	26
Sandoval	 NM	92	115	144
San Juan	 NM	173	177	192
San Miguel	 NM	69	79	66
Santa Fe	 NM	361	353	398
Sierra	 NM	47	45	39
Socorro	 NM	51	39	47
Taos	 NM	167	169	173
Torrance	 NM	32	32	29
Union	 NM	20	18	14
Valencia	 NM	80	78	92
NEW YORK		38051	39428	43791
Albany	 NY	841	847	957
Allegany	 NY	87	89	94
Bronx	 NY	1067	1164	1368
Broome	 NY	476	485	511
Cattaraugus	 NY	227	201	197
Cayuga	 NY	172	167	174
Chautauqua	 NY	368	363	355
Chemung	 NY	213	208	198
Chenango	 NY	97	88	90
Clinton	 NY	189	175	187
Columbia	 NY	142	152	165
Cortland	 NY	126	135	135
Delaware	 NY	124	142	125
Dutchess	 NY	558	600	701
Erie	 NY	2143	2072	2112
Essex	 NY	219	203	217
Franklin	 NY	127	124	113
Fulton	 NY	112	110	126
Genesee	 NY	131	137	130
Greene	 NY	207	206	195
Hamilton	 NY	59	55	56
Herkimer	 NY	153	164	156
Jefferson	 NY	295	300	320
Kings	 NY	2221	2553	3266
Lewis	 NY	67	69	68
Livingston	 NY	138	133	146
Madison	 NY	171	158	157
Monroe	 NY	1439	1386	1531
Montgomery	 NY	115	99	120
Nassau	 NY	2882	2889	3192
New York	 NY	7219	7612	8583
Niagara	 NY	593	516	490
Oneida	 NY	528	488	506
Onondaga	 NY	1063	1057	1112
Ontario	 NY	262	288	281
Orange	 NY	687	685	792
Orleans	 NY	66	62	64
Oswego	 NY	262	275	258
Otsego	 NY	165	191	193
Putnam	 NY	144	161	209
Queens	 NY	2668	3149	3619
Rensselaer	 NY	269	258	309
Richmond	 NY	553	587	658
Rockland	 NY	558	603	689
St. Lawrence	 NY	259	248	247
Saratoga	 NY	380	402	487
Schenectady	 NY	313	263	293
Schoharie	 NY	51	55	64
Schuyler	 NY	49	51	61
Seneca	 NY	72	68	70
Steuben	 NY	211	202	221
Suffolk	 NY	2795	2924	3274
Sullivan	 NY	246	239	243
Tioga	 NY	84	79	79
Tompkins	 NY	312	317	308
Ulster	 NY	468	473	533
Warren	 NY	407	381	418
Washington	 NY	100	113	111
Wayne	 NY	140	150	148
Westchester	 NY	1833	1924	2176
Wyoming	 NY	73	84	78
Yates	 NY	55	49	55
NORTH CAROLINA		14579	15747	18268
Alamance	 NC	246	258	281
Alexander	 NC	38	39	44
Alleghany	 NC	25	23	21
Anson	 NC	30	27	27
Ashe	 NC	43	38	45
Avery	 NC	47	55	49
Beaufort	 NC	68	71	80
Bertie	 NC	15	18	14
Bladen	 NC	50	43	41
Brunswick	 NC	155	189	238
Buncombe	 NC	506	556	658
Burke	 NC	118	128	126
Cabarrus	 NC	155	203	324
Caldwell	 NC	102	110	117
Camden	 NC	3	2	4
Carteret	 NC	202	198	226
Caswell	 NC	14	12	17
Catawba	 NC	315	344	358
Chatham	 NC	51	51	74
Cherokee	 NC	47	56	63
Chowan	 NC	27	28	28
Clay	 NC	13	10	15
Cleveland	 NC	131	147	159
Columbus	 NC	75	85	87
Craven	 NC	159	170	178
Cumberland	 NC	495	492	586
Currituck	 NC	45	49	75
Dare	 NC	274	289	301
Davidson	 NC	177	181	211
Davie	 NC	41	48	59
Duplin	 NC	65	63	76
Durham	 NC	468	553	617
Edgecombe	 NC	52	75	73
Forsyth	 NC	632	629	712
Franklin	 NC	37	42	46
Gaston	 NC	297	275	296
Gates	 NC	4	7	6
Graham	 NC	17	15	22
Granville	 NC	52	61	66
Greene	 NC	10	13	9
Guilford	 NC	924	985	1114
Halifax	 NC	76	81	86
Harnett	 NC	88	92	121
Haywood	 NC	151	151	156
Henderson	 NC	167	183	198
Hertford	 NC	39	32	43
Hoke	 NC	19	22	23
Hyde	 NC	33	34	30
Iredell	 NC	195	231	332
Jackson	 NC	102	92	96
Johnston	 NC	151	173	268
Jones	 NC	6	7	8
Lee	 NC	83	96	95
Lenoir	 NC	95	91	92
Lincoln	 NC	73	87	102
McDowell	 NC	64	64	70
Macon	 NC	92	94	114
Madison	 NC	24	23	30
Martin	 NC	43	44	43
Mecklenburg	 NC	1553	1869	2253
Mitchell	 NC	25	31	35
Montgomery	 NC	28	30	33
Moore	 NC	154	171	174
Nash	 NC	168	172	193
New Hanover	 NC	455	511	615
Northampton	 NC	12	18	19
Onslow	 NC	249	250	310
Orange	 NC	283	263	304
Pamlico	 NC	18	21	23
Pasquotank	 NC	74	67	93
Pender	 NC	48	58	70
Perquimans	 NC	11	12	16
Person	 NC	45	42	50
Pitt	 NC	237	263	306
Polk	 NC	36	41	38
Randolph	 NC	150	164	175
Richmond	 NC	69	77	67
Robeson	 NC	171	163	161
Rockingham	 NC	124	127	143
Rowan	 NC	158	193	195
Rutherford	 NC	93	118	110
Sampson	 NC	66	72	81
Scotland	 NC	52	42	48
Stanly	 NC	92	104	103
Stokes	 NC	39	49	53
Surry	 NC	149	131	153
Swain	 NC	79	99	99
Transylvania	 NC	72	65	84
Tyrrell	 NC	8	5	5
Union	 NC	151	166	246
Vance	 NC	66	73	69
Wake	 NC	1229	1375	1773
Warren	 NC	13	14	18
Washington	 NC	22	22	24
Watauga	 NC	165	162	159
Wayne	 NC	158	170	197
Wilkes	 NC	97	90	104
Wilson	 NC	138	130	131
Yadkin	 NC	70	60	66
Yancey	 NC	26	22	22
NORTH DAKOTA		1827	1765	1840
Adams	 ND	9	5	9
Barnes	 ND	36	39	35
Benson	 ND	12	17	14
Billings	 ND	8	12	9
Bottineau	 ND	30	30	32
Bowman	 ND	18	19	15
Burke	 ND	18	12	9
Burleigh	 ND	156	149	173
Cass	 ND	294	303	363
Cavalier	 ND	23	21	18
Dickey	 ND	20	19	19
Divide	 ND	8	8	7
Dunn	 ND	10	10	8
Eddy	 ND	13	7	8
Emmons	 ND	15	18	14
Foster	 ND	14	11	11
Golden Valley	 ND	7	6	7
Grand Forks	 ND	180	176	186
Grant	 ND	8	7	7
Griggs	 ND	12	11	9
Hettinger	 ND	9	9	6
Kidder	 ND	5	10	7
LaMoure	 ND	16	16	15
Logan	 ND	8	9	7
McHenry	 ND	14	7	10
McIntosh	 ND	16	15	12
McKenzie	 ND	21	14	17
McLean	 ND	35	29	34
Mercer	 ND	32	31	34
Morton	 ND	49	43	50
Mountrail	 ND	30	27	21
Nelson	 ND	17	12	13
Oliver	 ND	5	3	2
Pembina	 ND	29	29	24
Pierce	 ND	17	15	15
Ramsey	 ND	43	41	45
Ransom	 ND	25	19	18
Renville	 ND	12	13	11
Richland	 ND	44	47	47
Rolette	 ND	21	25	21
Sargent	 ND	17	19	14
Sheridan	 ND	5	6	5
Sioux	 ND	3	4	6
Slope	 ND	2	2	2
Stark	 ND	64	70	71
Steele	 ND	8	7	5
Stutsman	 ND	61	60	62
Towner	 ND	9	9	8
Traill	 ND	36	33	30
Walsh	 ND	41	42	42
Ward	 ND	158	139	150
Wells	 ND	21	22	17
Williams	 ND	63	58	66
OHIO		22631	22663	23959
Adams	 OH	37	42	43
Allen	 OH	231	228	219
Ashland	 OH	102	105	101
Ashtabula	 OH	235	228	219
Athens	 OH	141	143	145
Auglaize	 OH	102	91	87
Belmont	 OH	152	145	128
Brown	 OH	60	70	69
Butler	 OH	519	560	630
Carroll	 OH	45	45	43
Champaign	 OH	64	50	60
Clark	 OH	248	251	241
Clermont	 OH	224	234	285
Clinton	 OH	74	80	81
Columbiana	 OH	210	190	189
Coshocton	 OH	52	49	49
Crawford	 OH	94	93	90
Cuyahoga	 OH	3031	3005	3089
Darke	 OH	91	84	97
Defiance	 OH	72	80	81
Delaware	 OH	160	251	361
Erie	 OH	248	267	279
Fairfield	 OH	185	185	228
Fayette	 OH	56	59	58
Franklin	 OH	2330	2419	2664
Fulton	 OH	78	77	75
Gallia	 OH	59	57	50
Geauga	 OH	146	142	190
Greene	 OH	248	258	319
Guernsey	 OH	91	92	94
Hamilton	 OH	1967	1921	1933
Hancock	 OH	172	154	172
Hardin	 OH	58	45	51
Harrison	 OH	37	30	29
Henry	 OH	60	55	51
Highland	 OH	58	60	54
Hocking	 OH	51	52	66
Holmes	 OH	58	59	58
Huron	 OH	110	108	108
Jackson	 OH	49	67	52
Jefferson	 OH	166	154	157
Knox	 OH	96	93	91
Lake	 OH	482	496	561
Lawrence	 OH	73	66	68
Licking	 OH	266	249	284
Logan	 OH	101	95	104
Lorain	 OH	489	517	565
Lucas	 OH	1034	995	1026
Madison	 OH	61	61	66
Mahoning	 OH	536	505	544
Marion	 OH	116	121	119
Medina	 OH	229	252	309
Meigs	 OH	26	26	31
Mercer	 OH	79	85	79
Miami	 OH	178	174	181
Monroe	 OH	18	19	21
Montgomery	 OH	1129	1090	1112
Morgan	 OH	15	19	19
Morrow	 OH	39	34	36
Muskingum	 OH	189	182	194
Noble	 OH	18	17	23
Ottawa	 OH	168	155	173
Paulding	 OH	32	29	34
Perry	 OH	38	37	45
Pickaway	 OH	72	61	73
Pike	 OH	51	51	51
Portage	 OH	267	286	297
Preble	 OH	67	67	65
Putnam	 OH	54	56	67
Richland	 OH	272	270	277
Ross	 OH	119	119	121
Sandusky	 OH	110	138	131
Scioto	 OH	151	150	150
Seneca	 OH	128	115	111
Shelby	 OH	95	80	81
Stark	 OH	761	776	784
Summit	 OH	1156	1138	1231
Trumbull	 OH	449	437	434
Tuscarawas	 OH	212	220	215
Union	 OH	57	63	78
Van Wert	 OH	58	56	48
Vinton	 OH	15	17	17
Warren	 OH	243	266	345
Washington	 OH	122	114	120
Wayne	 OH	178	174	163
Williams	 OH	84	84	75
Wood	 OH	270	265	293
Wyandot	 OH	57	58	52
OKLAHOMA		6534	6506	6900
Adair	 OK	15	16	15
Alfalfa	 OK	6	6	6
Atoka	 OK	15	20	28
Beaver	 OK	8	7	7
Beckham	 OK	56	61	69
Blaine	 OK	24	26	21
Bryan	 OK	50	50	62
Caddo	 OK	48	42	43
Canadian	 OK	122	131	146
Carter	 OK	97	91	86
Cherokee	 OK	78	82	84
Choctaw	 OK	25	23	28
Cimarron	 OK	11	9	11
Cleveland	 OK	330	350	447
Coal	 OK	3	4	4
Comanche	 OK	203	190	204
Cotton	 OK	7	7	8
Craig	 OK	39	31	28
Creek	 OK	86	80	83
Custer	 OK	65	63	67
Delaware	 OK	67	64	62
Dewey	 OK	5	5	4
Ellis	 OK	7	4	7
Garfield	 OK	123	112	115
Garvin	 OK	44	37	40
Grady	 OK	63	57	51
Grant	 OK	7	6	6
Greer	 OK	8	5	5
Harmon	 OK	3	4	3
Harper	 OK	8	6	3
Haskell	 OK	16	15	15
Hughes	 OK	21	19	18
Jackson	 OK	56	62	49
Jefferson	 OK	13	8	9
Johnston	 OK	12	11	11
Kay	 OK	102	99	100
Kingfisher	 OK	27	25	28
Kiowa	 OK	15	19	19
Latimer	 OK	14	8	10
Le Flore	 OK	55	50	49
Lincoln	 OK	46	40	40
Logan	 OK	43	43	53
Love	 OK	17	14	12
McClain	 OK	38	42	53
McCurtain	 OK	51	47	39
McIntosh	 OK	46	46	35
Major	 OK	16	12	12
Marshall	 OK	27	29	30
Mayes	 OK	72	64	70
Murray	 OK	24	26	28
Muskogee	 OK	135	134	129
Noble	 OK	20	20	17
Nowata	 OK	12	12	11
Okfuskee	 OK	12	15	11
Oklahoma	 OK	1493	1514	1638
Okmulgee	 OK	59	62	56
Osage	 OK	42	43	44
Ottawa	 OK	59	70	59
Pawnee	 OK	28	26	21
Payne	 OK	149	147	154
Pittsburg	 OK	75	83	85
Pontotoc	 OK	59	56	62
Pottawatomie	 OK	135	122	125
Pushmataha	 OK	17	14	12
Roger Mills	 OK	9	7	9
Rogers	 OK	89	104	96
Seminole	 OK	33	33	33
Sequoyah	 OK	74	67	61
Stephens	 OK	85	75	84
Texas	 OK	55	44	47
Tillman	 OK	14	14	10
Tulsa	 OK	1316	1337	1452
Wagoner	 OK	60	48	57
Washington	 OK	92	107	114
Washita	 OK	9	11	15
Woods	 OK	23	27	23
Woodward	 OK	46	46	52
OREGON		8371	8816	10241
Baker	 OR	62	61	58
Benton	 OR	206	182	206
Clackamas	 OR	571	625	775
Clatsop	 OR	201	212	248
Columbia	 OR	75	87	97
Coos	 OR	186	173	187
Crook	 OR	34	39	48
Curry	 OR	112	113	113
Deschutes	 OR	306	373	504
Douglas	 OR	274	262	301
Gilliam	 OR	8	7	8
Grant	 OR	32	25	25
Harney	 OR	25	24	27
Hood River	 OR	76	74	88
Jackson	 OR	474	552	590
Jefferson	 OR	31	42	45
Josephine	 OR	168	186	205
Klamath	 OR	156	158	176
Lake	 OR	26	35	27
Lane	 OR	810	781	920
Lincoln	 OR	275	253	292
Linn	 OR	183	183	200
Malheur	 OR	73	72	84
Marion	 OR	529	583	652
Morrow	 OR	18	22	18
Multnomah	 OR	1939	2070	2472
Polk	 OR	77	96	121
Sherman	 OR	9	7	8
Tillamook	 OR	128	115	124
Umatilla	 OR	160	161	166
Union	 OR	77	74	65
Wallowa	 OR	47	39	42
Wasco	 OR	73	64	72
Washington	 OR	798	899	1085
Wheeler	 OR	6	7	6
Yamhill	 OR	146	160	186
PENNSYLVANIA		24465	24778	26910
Adams	 PA	190	192	206
Allegheny	 PA	2912	2944	3153
Armstrong	 PA	135	125	103
Beaver	 PA	307	289	315
Bedford	 PA	108	109	104
Berks	 PA	706	688	715
Blair	 PA	254	270	274
Bradford	 PA	117	104	108
Bucks	 PA	1047	1080	1307
Butler	 PA	317	327	361
Cambria	 PA	314	295	307
Cameron	 PA	14	15	14
Carbon	 PA	97	108	127
Centre	 PA	287	295	301
Chester	 PA	642	767	907
Clarion	 PA	108	99	103
Clearfield	 PA	153	158	177
Clinton	 PA	79	79	82
Columbia	 PA	154	135	152
Crawford	 PA	180	200	199
Cumberland	 PA	415	451	520
Dauphin	 PA	611	622	668
Delaware	 PA	1025	1008	1028
Elk	 PA	82	79	76
Erie	 PA	614	612	646
Fayette	 PA	278	278	270
Forest	 PA	20	25	25
Franklin	 PA	217	228	278
Fulton	 PA	24	25	23
Greene	 PA	56	65	73
Huntingdon	 PA	84	75	86
Indiana	 PA	167	163	166
Jefferson	 PA	89	93	91
Juniata	 PA	33	30	34
Lackawanna	 PA	520	504	546
Lancaster	 PA	877	857	935
Lawrence	 PA	196	201	177
Lebanon	 PA	209	206	241
Lehigh	 PA	648	611	740
Luzerne	 PA	694	729	763
Lycoming	 PA	283	254	277
McKean	 PA	118	110	112
Mercer	 PA	270	249	271
Mifflin	 PA	83	78	80
Monroe	 PA	345	364	386
Montgomery	 PA	1504	1642	1769
Montour	 PA	39	40	42
Northampton	 PA	513	542	646
Northumberland	 PA	180	174	170
Perry	 PA	61	70	76
Philadelphia	 PA	2989	3037	3396
Pike	 PA	91	97	98
Potter	 PA	49	44	44
Schuylkill	 PA	297	260	283
Snyder	 PA	78	77	85
Somerset	 PA	168	172	167
Sullivan	 PA	24	18	25
Susquehanna	 PA	79	80	84
Tioga	 PA	89	91	99
Union	 PA	90	79	95
Venango	 PA	99	98	105
Warren	 PA	112	94	85
Washington	 PA	351	377	384
Wayne	 PA	172	169	172
Westmoreland	 PA	710	699	762
Wyoming	 PA	56	60	60
York	 PA	635	662	736
RHODE ISLAND		2617	2701	2926
Bristol	 RI	104	116	126
Kent	 RI	409	445	459
Newport	 RI	328	320	366
Providence	 RI	1338	1389	1527
Washington	 RI	438	431	448
SOUTH CAROLINA		7775	8135	9291
Abbeville	 SC	26	29	32
Aiken	 SC	212	203	238
Allendale	 SC	6	8	8
Anderson	 SC	283	312	350
Bamberg	 SC	24	19	21
Barnwell	 SC	33	38	28
Beaufort	 SC	353	374	458
Berkeley	 SC	135	164	208
Calhoun	 SC	7	9	9
Charleston	 SC	847	914	1045
Cherokee	 SC	85	95	97
Chester	 SC	46	43	42
Chesterfield	 SC	65	72	76
Clarendon	 SC	50	50	66
Colleton	 SC	57	57	71
Darlington	 SC	91	95	88
Dillon	 SC	54	51	58
Dorchester	 SC	115	133	153
Edgefield	 SC	23	21	25
Fairfield	 SC	21	18	22
Florence	 SC	245	248	286
Georgetown	 SC	151	160	169
Greenville	 SC	818	811	1005
Greenwood	 SC	122	118	124
Hampton	 SC	30	34	43
Horry	 SC	1044	1052	1178
Jasper	 SC	35	51	56
Kershaw	 SC	80	82	95
Lancaster	 SC	76	77	93
Laurens	 SC	68	75	80
Lee	 SC	14	16	19
Lexington	 SC	338	350	489
McCormick	 SC	8	9	13
Marion	 SC	45	51	46
Marlboro	 SC	36	31	31
Newberry	 SC	43	49	61
Oconee	 SC	101	118	113
Orangeburg	 SC	149	155	177
Pickens	 SC	193	198	219
Richland	 SC	695	716	779
Saluda	 SC	18	12	17
Spartanburg	 SC	465	511	528
Sumter	 SC	133	132	149
Union	 SC	36	37	32
Williamsburg	 SC	35	34	29
York	 SC	264	303	365
SOUTH DAKOTA		2259	2203	2426
Aurora	 SD	15	12	11
Beadle	 SD	66	53	54
Bennett	 SD	6	8	8
Bon Homme	 SD	22	19	15
Brookings	 SD	62	67	76
Brown	 SD	105	90	116
Brule	 SD	30	24	26
Buffalo	 SD	0	1	1
Butte	 SD	23	27	32
Campbell	 SD	8	10	7
Charles Mix	 SD	27	25	26
Clark	 SD	11	13	7
Clay	 SD	46	41	44
Codington	 SD	78	74	88
Corson	 SD	3	4	3
Custer	 SD	46	42	58
Davison	 SD	79	78	69
Day	 SD	20	18	21
Deuel	 SD	12	13	15
Dewey	 SD	7	6	7
Douglas	 SD	9	8	10
Edmunds	 SD	10	8	15
Fall River	 SD	35	34	41
Faulk	 SD	6	10	9
Grant	 SD	22	19	30
Gregory	 SD	19	15	19
Haakon	 SD	9	9	9
Hamlin	 SD	13	10	15
Hand	 SD	9	13	14
Hanson	 SD	4	3	3
Harding	 SD	7	6	3
Hughes	 SD	55	56	55
Hutchinson	 SD	16	17	17
Hyde	 SD	4	4	1
Jackson	 SD	17	12	13
Jerauld	 SD	7	5	7
Jones	 SD	12	11	13
Kingsbury	 SD	22	26	17
Lake	 SD	34	31	45
Lawrence	 SD	111	113	140
Lincoln	 SD	33	37	45
Lyman	 SD	15	14	19
McCook	 SD	23	18	21
McPherson	 SD	10	8	7
Marshall	 SD	18	16	17
Meade	 SD	54	57	71
Mellette	 SD	4	3	4
Miner	 SD	8	7	8
Minnehaha	 SD	386	400	426
Moody	 SD	17	15	17
Pennington	 SD	326	316	341
Perkins	 SD	15	9	7
Potter	 SD	12	13	12
Roberts	 SD	29	24	28
Sanborn	 SD	6	7	7
Shannon	 SD	6	7	8
Spink	 SD	18	21	16
Stanley	 SD	8	7	12
Sully	 SD	6	6	9
Todd	 SD	5	7	4
Tripp	 SD	19	18	25
Turner	 SD	17	18	18
Union	 SD	37	45	40
Walworth	 SD	31	27	31
Yankton	 SD	67	67	71
Ziebach	 SD	2	1	2
TENNESSEE		9604	10070	11592
Anderson	 TN	129	126	126
Bedford	 TN	49	51	58
Benton	 TN	39	35	30
Bledsoe	 TN	8	9	10
Blount	 TN	167	188	209
Bradley	 TN	138	133	164
Campbell	 TN	60	54	54
Cannon	 TN	10	8	10
Carroll	 TN	45	41	39
Carter	 TN	47	58	67
Cheatham	 TN	29	35	44
Chester	 TN	19	21	21
Claiborne	 TN	22	23	27
Clay	 TN	20	9	11
Cocke	 TN	52	60	67
Coffee	 TN	106	100	102
Crockett	 TN	16	11	10
Cumberland	 TN	75	77	91
Davidson	 TN	1407	1422	1605
Decatur	 TN	21	25	21
DeKalb	 TN	22	22	28
Dickson	 TN	70	77	95
Dyer	 TN	67	81	70
Fayette	 TN	18	23	39
Fentress	 TN	18	16	23
Franklin	 TN	50	41	51
Gibson	 TN	62	64	71
Giles	 TN	38	39	49
Grainger	 TN	10	8	13
Greene	 TN	102	96	100
Grundy	 TN	8	15	15
Hamblen	 TN	100	106	107
Hamilton	 TN	711	699	763
Hancock	 TN	2	1	3
Hardeman	 TN	30	36	32
Hardin	 TN	49	47	52
Hawkins	 TN	45	43	62
Haywood	 TN	26	27	35
Henderson	 TN	36	33	38
Henry	 TN	61	67	64
Hickman	 TN	23	29	27
Houston	 TN	12	10	13
Humphreys	 TN	35	32	40
Jackson	 TN	7	10	11
Jefferson	 TN	51	53	72
Johnson	 TN	16	21	25
Knox	 TN	769	774	890
Lake	 TN	15	12	13
Lauderdale	 TN	22	21	20
Lawrence	 TN	45	49	51
Lewis	 TN	19	14	18
Lincoln	 TN	44	42	45
Loudon	 TN	56	59	71
McMinn	 TN	84	75	83
McNairy	 TN	28	28	37
Macon	 TN	19	19	23
Madison	 TN	183	183	214
Marion	 TN	41	37	57
Marshall	 TN	34	33	37
Maury	 TN	96	111	144
Meigs	 TN	7	9	6
Monroe	 TN	55	71	81
Montgomery	 TN	237	241	300
Moore	 TN	5	3	8
Morgan	 TN	8	8	8
Obion	 TN	51	54	65
Overton	 TN	21	20	25
Perry	 TN	6	5	6
Pickett	 TN	7	9	9
Polk	 TN	18	21	23
Putnam	 TN	119	129	154
Rhea	 TN	46	46	45
Roane	 TN	60	55	66
Robertson	 TN	54	41	83
Rutherford	 TN	244	285	417
Scott	 TN	22	19	29
Sequatchie	 TN	16	14	23
Sevier	 TN	453	461	517
Shelby	 TN	1429	1578	1724
Smith	 TN	19	20	20
Stewart	 TN	12	17	19
Sullivan	 TN	266	286	312
Sumner	 TN	144	182	217
Tipton	 TN	44	54	61
Trousdale	 TN	10	8	10
Unicoi	 TN	19	28	27
Union	 TN	10	11	12
Van Buren	 TN	2	2	1
Warren	 TN	56	49	52
Washington	 TN	190	212	254
Wayne	 TN	19	17	20
Weakley	 TN	55	55	58
White	 TN	17	26	28
Williamson	 TN	189	257	366
Wilson	 TN	111	138	179
TEXAS		34160	36591	43509
Anderson	 TX	58	63	69
Andrews	 TX	20	22	23
Angelina	 TX	119	119	133
Aransas	 TX	72	70	84
Archer	 TX	5	8	7
Armstrong	 TX	4	6	6
Atascosa	 TX	44	44	66
Austin	 TX	46	42	46
Bailey	 TX	17	12	10
Bandera	 TX	36	52	55
Bastrop	 TX	68	79	97
Baylor	 TX	9	12	7
Bee	 TX	47	47	52
Bell	 TX	376	407	500
Bexar	 TX	2558	2710	3207
Blanco	 TX	22	17	32
Borden	 TX	0	0	0
Bosque	 TX	19	19	20
Bowie	 TX	142	129	166
Brazoria	 TX	295	311	383
Brazos	 TX	275	312	368
Brewster	 TX	45	46	48
Briscoe	 TX	2	3	4
Brooks	 TX	21	22	28
Brown	 TX	77	77	87
Burleson	 TX	25	28	36
Burnet	 TX	63	76	102
Caldwell	 TX	36	42	54
Calhoun	 TX	53	63	60
Callahan	 TX	15	13	16
Cameron	 TX	513	570	643
Camp	 TX	17	17	15
Carson	 TX	10	12	12
Cass	 TX	47	42	37
Castro	 TX	14	14	11
Chambers	 TX	31	39	50
Cherokee	 TX	47	51	66
Childress	 TX	24	25	24
Clay	 TX	11	9	9
Cochran	 TX	5	6	4
Coke	 TX	7	4	6
Coleman	 TX	21	23	21
Collin	 TX	563	929	1290
Collingsworth	 TX	7	9	8
Colorado	 TX	48	44	43
Comal	 TX	172	181	255
Comanche	 TX	22	24	17
Concho	 TX	9	5	6
Cooke	 TX	64	70	84
Coryell	 TX	60	70	74
Cottle	 TX	5	3	4
Crane	 TX	7	6	5
Crockett	 TX	24	18	18
Crosby	 TX	5	8	5
Culberson	 TX	21	20	19
Dallam	 TX	27	24	26
Dallas	 TX	4194	4385	4753
Dawson	 TX	30	26	26
Deaf Smith	 TX	29	24	33
Delta	 TX	2	2	3
Denton	 TX	488	632	909
DeWitt	 TX	37	31	43
Dickens	 TX	7	7	6
Dimmit	 TX	12	14	19
Donley	 TX	14	11	12
Duval	 TX	16	13	13
Eastland	 TX	43	34	44
Ector	 TX	234	219	245
Edwards	 TX	3	3	5
Ellis	 TX	113	140	185
El Paso	 TX	1094	1090	1269
Erath	 TX	68	61	81
Falls	 TX	20	20	20
Fannin	 TX	33	39	37
Fayette	 TX	55	56	67
Fisher	 TX	6	5	2
Floyd	 TX	16	13	11
Foard	 TX	3	2	3
Fort Bend	 TX	319	446	657
Franklin	 TX	18	13	18
Freestone	 TX	24	32	25
Frio	 TX	23	20	24
Gaines	 TX	21	21	27
Galveston	 TX	485	484	589
Garza	 TX	13	10	15
Gillespie	 TX	67	81	88
Glasscock	 TX	1	0	0
Goliad	 TX	13	11	12
Gonzales	 TX	26	26	38
Gray	 TX	55	36	41
Grayson	 TX	200	190	226
Gregg	 TX	274	265	294
Grimes	 TX	25	28	31
Guadalupe	 TX	127	136	158
Hale	 TX	67	62	71
Hall	 TX	10	5	8
Hamilton	 TX	13	13	18
Hansford	 TX	11	12	13
Hardeman	 TX	10	10	14
Hardin	 TX	50	49	63
Harris	 TX	5470	5881	7132
Harrison	 TX	75	79	91
Hartley	 TX	4	4	4
Haskell	 TX	8	11	14
Hays	 TX	177	209	286
Hemphill	 TX	12	10	10
Henderson	 TX	95	115	124
Hidalgo	 TX	626	692	896
Hill	 TX	67	75	67
Hockley	 TX	38	41	40
Hood	 TX	74	78	91
Hopkins	 TX	56	46	53
Houston	 TX	27	30	35
Howard	 TX	73	64	70
Hudspeth	 TX	5	8	5
Hunt	 TX	117	94	115
Hutchinson	 TX	48	44	46
Irion	 TX	5	1	1
Jack	 TX	11	11	16
Jackson	 TX	18	17	21
Jasper	 TX	49	46	54
Jeff Davis	 TX	12	15	10
Jefferson	 TX	426	406	419
Jim Hogg	 TX	14	13	9
Jim Wells	 TX	68	56	76
Johnson	 TX	134	154	189
Jones	 TX	24	22	15
Karnes	 TX	23	25	25
Kaufman	 TX	91	94	142
Kendall	 TX	50	56	83
Kenedy	 TX	1	1	0
Kent	 TX	1	2	2
Kerr	 TX	100	100	122
Kimble	 TX	27	19	22
King	 TX	1	0	0
Kinney	 TX	3	2	4
Kleberg	 TX	74	70	70
Knox	 TX	13	5	6
Lamar	 TX	96	87	87
Lamb	 TX	27	23	25
Lampasas	 TX	28	32	36
La Salle	 TX	8	9	11
Lavaca	 TX	32	24	25
Lee	 TX	24	23	28
Leon	 TX	24	29	25
Liberty	 TX	65	73	88
Limestone	 TX	33	32	40
Lipscomb	 TX	4	4	5
Live Oak	 TX	29	28	24
Llano	 TX	47	40	50
Loving	 TX	0	0	1
Lubbock	 TX	522	520	582
Lynn	 TX	7	4	5
McCulloch	 TX	23	25	22
McLennan	 TX	400	400	468
McMullen	 TX	2	1	1
Madison	 TX	19	22	26
Marion	 TX	35	26	22
Martin	 TX	4	3	3
Mason	 TX	8	12	11
Matagorda	 TX	77	75	77
Maverick	 TX	46	54	64
Medina	 TX	46	61	73
Menard	 TX	9	7	5
Midland	 TX	231	240	254
Milam	 TX	43	42	38
Mills	 TX	6	8	10
Mitchell	 TX	17	11	13
Montague	 TX	38	27	24
Montgomery	 TX	284	414	621
Moore	 TX	46	42	43
